num_workers,avg_batch_time,std_batch_time,avg_memory,peak_memory,avg_cpu
1,1.0820673100153604,0.1658099278675311,4436.474401041666,4438.19140625,6.006
2,0.5422964986165364,0.5112941625507297,4912.871236979167,4950.420572916667,8.492666666666667
3,0.3787689844767253,0.453704503997373,5334.489479166667,5462.494791666667,11.898333333333333
4,0.28734010060628257,0.3879220112693145,5967.868789062501,5974.701822916667,13.706999999999999
5,0.24283725102742512,0.3448635176789285,6478.3360546875,6487.204427083333,16.323666666666668
6,0.2288113768895467,0.32421022278372746,6487.138645833334,6490.393229166667,17.682666666666666
7,0.2308154002825419,0.3197749465954753,6999.425013020834,7010.953125,17.997333333333334
8,0.2286532664299011,0.3444452274828,7327.630703125001,7367.029947916667,17.319000000000003
9,0.22751516501108804,0.37776493071330325,7512.02359375,7534.631510416667,18.182333333333336
10,0.2218767825762431,0.4081165628610603,8160.621731770833,8202.580729166666,17.701666666666668
11,0.22153848091761272,0.4550035720530093,8703.608359375,8719.977864583334,17.626
12,0.22667412519454955,0.5874566820547938,9893.550286458334,9910.864583333334,16.34
13,0.23461412906646728,0.6371015840581437,11609.975859375001,11622.8828125,16.840333333333337
14,0.2524064675966899,0.6691464243604012,11946.322864583331,11977.796875,16.30633333333333
15,0.27984347581863406,0.7432448265167152,14674.723307291666,14717.376302083334,16.127333333333336
16,0.2819772847493489,0.8039184056824026,14682.327044270833,14704.759114583334,15.678333333333335
